Altium Designer Pick and Place Locations
E:\pcb\oshw-active-probe\board\.\Mfg\Pick Place for Probe.csv

========================================================================================================================
File Design Information:

Date:       30/06/24
Time:       22:16
Revision:   acb4191ab9f0c53b9e4660cdfa4b82b2ccafe564
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C8","10nF","TopLayer","CAP_0402/1005","40.2000","6.5000","270","CAP CER 10NF 25V NP0 0402"
"C6","10nF","TopLayer","CAP_0402/1005","40.2000","8.9000","90","CAP CER 10NF 25V NP0 0402"
"C11","22uF","TopLayer","CAP_TAN_3528_-_2.1MM","42.8000","3.5000","180","CAP TANT 22UF 16V 3528"
"C10","22uF","TopLayer","CAP_TAN_3528_-_2.1MM","42.8000","11.9000","0","CAP TANT 22UF 16V 3528"
"C13","100nF","TopLayer","CAP_0402/1005","21.1000","3.1000","180","CAP CER 100NF 25V X5R 0402"
"C12","100nF","TopLayer","CAP_0402/1005","27.7000","7.6000","270","CAP CER 100NF 25V X5R 0402"
"C17","100nF","TopLayer","CAP_0204/0510","12.9000","9.8000","0","CAP CER 100NF 25V X5R 0204"
"C15","100nF","TopLayer","CAP_0204/0510","17.1000","9.8000","180","CAP CER 100NF 25V X5R 0204"
"C16","100nF","TopLayer","CAP_0204/0510","17.1000","17.2000","0","CAP CER 100NF 25V X5R 0204"
"C14","100nF","TopLayer","CAP_0204/0510","12.9000","17.2000","180","CAP CER 100NF 25V X5R 0204"
"U2","OPA140AIDR","TopLayer","TI_SOIC-8_D","22.9001","6.6001","0","IC OPAMP JFET 1CIRC 8SOIC"
"U1","BUF802IRGTR","TopLayer","QFN50P305X305X100_HS-17N","15.0000","13.5000","0","IC AMP WIDE BANDWIDTH 16VQFN"
"R18","1K","TopLayer","RES_0402/1005","15.6000","16.7000","90","RES SMD 1K OHM 1% 1/16W 0402"
"R19","49.9","TopLayer","RES_0402/1005","18.2000","14.0000","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R10","10M","TopLayer","RES_0402/1005","12.3000","13.5000","270","RES SMD 10M OHM 1% 1/16W 0402"
"R16","17.8k","TopLayer","RES_0402/1005","15.3000","10.3000","270","RES SMD 17.8K OHM 1% 1/16W 0402"
"R15","5.6K","TopLayer","RES_0402/1005","21.2000","10.4000","180","RES SMD 5.6K OHM 1% 1/16W 0402"
"R8","66.5k","TopLayer","RES_0402/1005","18.1000","4.7000","0","RES SMD 66.5K OHM 1% 1/16W 0402"
"R6","1.91M","TopLayer","RES_0402/1005","6.8000","13.5000","270","RES SMD 1.91M OHM 1% 1/16W 0402"
"R4","422K","TopLayer","RES_0402/1005","8.4500","16.3000","180","RES SMD 422K OHM 1% 1/16W 0402"
"R3","1.6M","TopLayer","RES_0402/1005","8.4500","15.1000","0","RES SMD 1.6M OHM 1% 1/16W 0402"
"R2","0","TopLayer","RES_0402/1005","11.2000","13.5000","90","RES SMD 0 OHM 5% 1/16W 0402"
"C1","330pF","TopLayer","CAP_0402/1005","10.1000","13.5000","270","CAP CER 330PF 50V NP0 0402"
